description,title,course,prerequisite,department,unit
"The Diversity of Life,In this course the ecological and evolutionary connections between all living organisms will e explored and the following questions will be addressed: 1) Why are there so many species and how did there get to be so many? 2) How does fitness unify and diversify life? 3) How do organisms reproduce? and 4) What is the biological future of life?  Organismal through ecosystem level processes will be explored.",The Diversity of Life,Lecture - Required,Biology,Natural Science,5
"Animal Biology,** available as of 09/03/2019,General biological principles - structure and function of cells, histology, embryology, heredity, ecology, and evolution; survey of the animal kingdom; and structure and function of the vertebrate body. Lecture, lab, and may also include demonstrations, discussion and field trips.","Animal Biology,** available as of 09/03/2019","Bus, Inds, Life Sci, Ag",Richland,Biology,5
"Special Topics in Project Management,Designed to present to students specialized topics in the field of Project Management depending upon interest of students and approval of staff.",Special Topics in Project Management,PROJMGT 7940,P: PROJMGT 7010 and PROJMGT 7020,Distance Learning Graduate,1 - 3
"Introduction to Environmental Science,** available as of 09/03/2019,The principles underlying the proper management of our resources: water, soils, minerals, forests, wildlife and human. The current and past attitudes relating to the resources with the interaction and complexities of humans' interests. This meets the statutory requirement for Conservation of Natural Resources required for State certification for teachers of science and social sciences. Lecture and may also include demonstrations, discussion and field trips. A student may not earn credit for both BIO 1900 and BIO 1910.","Introduction to Environmental Science,** available as of 09/03/2019",Biology,Biology,Main Campus,3
"Introduction to Environmental Science,** available as of 09/03/2019,The principles underlying the proper management of our resources: water, soils, minerals, forests, wildlife and human. The current and past attitudes relating to the resources with the interaction and complexities of humans' interests. This meets the statutory requirement for Conservation of Natural Resources required for State certification for teachers of science and social sciences. Lecture and may also include demonstrations, discussion and field trips. A student may not earn credit for both BIO 1900 and BIO 1910.","Introduction to Environmental Science,** available as of 09/03/2019",Biology,Biology,Main Campus,3
"Introduction to Environmental Science,** available as of 09/03/2019,The principles underlying the proper management of our resources: water, soils, minerals, forests, wildlife and human. The current and past attitudes relating to the resources with the interaction and complexities of humans' interests. This meets the statutory requirement for Conservation of Natural Resources required for State certification for teachers of science and social sciences. Lecture and may also include demonstrations, discussion and field trips. A student may not earn credit for both BIO 1900 and BIO 1910.","Introduction to Environmental Science,** available as of 09/03/2019",Biology,Biology,Main Campus,3
"Animal Biology,** available as of 09/03/2019,General biological principles - structure and function of cells, histology, embryology, heredity, ecology, and evolution; survey of the animal kingdom; and structure and function of the vertebrate body. Lecture, lab, and may also include demonstrations, discussion and field trips.","Animal Biology,** available as of 09/03/2019","Bus, Inds, Life Sci, Ag",Richland,Biology,5
"Cell Biology,Organization of cells and their components; analysis of light and electron microscopy of cytoplasmic and nuclear components of the cell and their relation to heredity, physiology, reproduction and development.",Cell Biology,BIOLOGY 2040,P:  BIOLOGY 1650 and one semester of chemistry,"Bus, Inds, Life Sci, Ag",4
"Principles of Ecology,** available as of 09/03/2019,The interrelationships between living organisms and their environment, ecosystems concepts, population dynamics, community organization and distribution, and application of ecological principles to humans and their environment. Lecture, lab, and may also include demonstrations, discussion and field trips.","Principles of Ecology,** available as of 09/03/2019",Richland,None,Biology,4
"Biology of Human Sexuality and Reproduction,** available as of 09/03/2019,This course focuses on the biological aspects of human sexuality and reproduction. In addition, the following topics will be discussed from a biological perspective: birth control, sexually transmitted diseases, birth defects, abortion, differences between the sexes, and the manipulation of the human reproductive process by science. Lecture and may also include demonstrations, discussion and field trips.","Biology of Human Sexuality and Reproduction,** available as of 09/03/2019",Biology,Biology,Main Campus,3
"Human Anatomy and Physiology I,Designed as the first of a two-semester sequence, this sequence explores structure (anatomy) and function (physiology) of the human body from a systematic approach.  In addition to introductory materials, this semester includes study of the integumentary system, nervous system including special senses, endocrine system and skeletal system.  Throughout the semester, systems will be analyzed at the molecular, cellular, tissue, organ and organ system levels.  This course is designed for science majors.",Human Anatomy and Physiology I,BIOLOGY 2140,P: BIOLOGY 1150 or BIOLOGY 1650 or consent of instructor,"Bus, Inds, Life Sci, Ag",5
"Plants and Society,A global exploration of plants and their uses by humans from historical, cultural, economic, and botanical perspectives.",Plants and Society,International Education,Main Campus,BIOLOGY 2130,3
"Seminar Paper Research,The seminar paper or educational project need not be a report of original and independent research. It must demonstrate, however, the student's ability to survey a field of knowledge and assemble, organize, evaluate, interpret, and present evidence in a logical and intelligent manner. Although the seminar paper or educational project may originate from work done in connection with one of the student's graduate courses and be based upon a term paper or course project, it must be more comprehensive and complete in coverage and treatment.  In consultation with the program advisor, the student proposes a seminar paper or educational project and a seminar paper or educational project advisor.  An approved seminar paper or educational project proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. The seminar paper or educational project advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Seminar Paper Research,SPEECH 7920,None,Liberal Arts and Education,1 - 2
"Fundamentals of Biological Investigations,This course illustrates the process of science from a biological perspective.  Students will learn to design, execute, analyze, and present biological research.  Through a combination of readings, discussions, projects, lab exercises, and field work students will experience the challenges and rewards of acquiring biological information.",Fundamentals of Biological Investigations,BIOLOGY 2420,P:  BIOLOGY 1650 and BIOLOGY 1750 and (ENGLISH 1130 or ENGLISH 1040) and ENGLISH 1230,"Bus, Inds, Life Sci, Ag",3
"Fungi, Algae and Bryophytes,This course covers the major groups of living algae, fungi, fungal-like protists, and bryophytes.  Although classic concepts of taxonomy, evolution, morphology, and ecological and economic importances will be included in this diversity survey course, the material will be presented from a community ecology approach: which organisms would be located in a particular environment and why?  Lectures will be standard lecture as well as discussion format.  Labs will include a variety of essential techniques for studying these diverse organisms, such as microscopy, use of identification keys, field sampling, collection/processing, and culturing.","Fungi, Algae and Bryophytes",BIOLOGY 2450,"P: BIOLOGY 1350 or (BIOLOGY 1650 and BIOLOGY 1750). C: SPEECH 1010,  BIOLOGY 3450 recommended","Bus, Inds, Life Sci, Ag",4
"Essentials of Anatomy and Physiology,As a one semester offering, this course is designed to cover the essentials of human anatomy and physiology.  It will serve as a basic introduction to the study of the complex interdependence of structure and function from a systematic approach.  All primary body systems will be addressed.",Essentials of Anatomy and Physiology,Natural Science,Main Campus,BIOLOGY 2340,4
"Agile Methods in Project Management,Starting with an overview of Agile project management methodologies and theory, this course prepares students to evaluate projects, assess culture, and adapt agile methods to project management applications within the organization.  Though some content is drawn from the software environment, this course is intended for a broad audience and is not specific to nor focused on software development.",Agile Methods in Project Management,PROJMGT 7090,P: PROJMGT 7010 and PROJMGT 7020,Distance Learning Graduate,3
"Animal Behavior,** available as of 09/03/2019,A general introduction to the field of animal behavior. Topics include evolution and natural selection, social behavior, communication, reproduction, orientation and navigation, and hormonal mechanisms of behavior. Lecture, lab, and may also include demonstrations, discussions, and field trips.","Animal Behavior,** available as of 09/03/2019",Biology,None,Baraboo/Sauk County,3
"Research Experience,Individual specialized study working with a faculty advisor.  For freshmen, sophomores, and those students who have yet to complete BIOLOGY 2420.  Up to two credits can be counted toward a biology major.",Research Experience,"Bus, Inds, Life Sci, Ag",None,Biology,1 - 3
"Human Anatomy and Physiology II,Designed as the 2nd of a two-semester sequence, this course continues the exploration of the structure (anatomy) and function (physiology) of the human body from a systematic approach.  This semester includes the study of the muscular system, cardiovascular system, lymphatic system, respiratory system, digestive system, urinary system, reproductive system and early development.  Throughout the semester systems will be analyzed at the molecular, cellular, tissue, organ and organ system levels.  This course is designed for science majors.",Human Anatomy and Physiology II,BIOLOGY 2240,"P:  BIOLOGY 2140 (grade of ""C-"" or better required)","Bus, Inds, Life Sci, Ag",5
"Invertebrate Zoology,Systematic survey of the invertebrates. Both representative and diverse forms will be studied within each group.  Includes animal micro-technique procedures.",Invertebrate Zoology,BIOLOGY 2640,P: BIOLOGY 1650 and BIOLOGY 1750 or consent of instructor,"Bus, Inds, Life Sci, Ag",5
"Comparative Anatomy of the Vertebrates,Comparative studies of organs and systems of Vertebrata; includes laboratory dissections of shark, necturus, and cat.",Comparative Anatomy of the Vertebrates,BIOLOGY 3040,P: BIOLOGY 1650 and BIOLOGY 1750 and (BIOLOGY 2140 and BIOLOGY 2240) or (BIOLOGY 2340) or consent of instructor,"Bus, Inds, Life Sci, Ag",5
"Special Topics in Biology,** available as of 09/03/2019,Designed to cover topics in biology not ordinarily covered in other classes.","Special Topics in Biology,** available as of 09/03/2019",Biology,Biology,Main Campus,1 - 3
"Introduction to Genetics,** available as of 09/03/2019,Laws of variation and heredity and their modification by environment, genetic engineering, and chromosome behavior with emphasis on human genetics. Lecture, lab, and may also include demonstrations, discussion and field trips.","Introduction to Genetics,** available as of 09/03/2019",Biology,Biology,Main Campus,3
"Microbiology,Classification, morphology, physiology, and genetics of microbes; relation of bacteria to viruses; survey of bacteria found in the environment and their control; principles of immunity and diseases.",Microbiology,BIOLOGY 3240,P:  BIOLOGY 1650 and BIOLOGY 1750 and CHEMSTRY 1140 or consent of instructor,"Bus, Inds, Life Sci, Ag",5
"Mammalogy,A review of the mammalian fauna focusing on the major orders and families.  Key morphological features, life history, and zoogeographic patterns will be reviewed for major groups.  Discussion of current conservation and management issues.  Lab includes identification of native Wisconsin mammals and an introduction to standard field and lab techniques for the study of mammals.",Mammalogy,BIOLOGY 3230,P:  BIOLOGY 1650 and BIOLOGY 1750 and BIOLOGY 2420 or consent of instructor,"Bus, Inds, Life Sci, Ag",4
"Animal Tissue Culture,Preparation of equipment and environment.  Growth and maintenance.  Media considerations.  Various types of culture methods.  Applications.",Animal Tissue Culture,BIOLOGY 3120,P:  BIOLOGY 1650 and BIOLOGY 1750 and one college level chemistry course or consent of instructor,"Bus, Inds, Life Sci, Ag",2
"Ecological Methods and Research,This class supplements BIOLOGY 3450 Ecology and Evolution and further explores the major principles, techniques, and approaches in ecology.  This course will explore ecology in the field and laboratory with the goal of enabling students to plan, execute, and scrutinize ecological research and appreciate how science and research fit into ecology.",Ecological Methods and Research,BIOLOGY 3460,P:  BIOLOGY 1650 and BIOLOGY 1750 and BIOLOGY 2420; C: BIOLOGY 3450 or consent of instructor,"Bus, Inds, Life Sci, Ag",3
"Biotechnology,Genetic elements that control gene expression.  Procedures for creating and isolating cloned genes.  Genetic engineering and uses of recombinant DNA.",Biotechnology,BIOLOGY 3530,P:  BIOLOGY 1650 and BIOLOGY 1750 and one college level chemistry course or consent of instructor,"Bus, Inds, Life Sci, Ag",3
"Ecology and Evolution,Ecology and evolution will be considered from the perspectives of individual organisms, populations, communities, and ecosystems in an effort to illustrate the relationships between these concepts and the importance of how they both shape our world.  Students will be introduced to the history, major principles, theories, dynamics, and approaches of ecology and evolution. (Fall, Spring)",Ecology and Evolution,"Bus, Inds, Life Sci, Ag",None,Biology,3
"Environmental,** available as of 09/03/2019,A contemporary study of the natural world through the human perspective. Emphasis on humans as a modifying force in the biophysical environment, including selected topics in ecological principles, pollution, population biology, and environmental management. This course meets the statutory requirement for Conservation of Natural Resources required for State certification for teachers of science and social sciences. Lecture, lab, and may include demonstrations, discussions, and field trips. A student may not earn credit for both BIO 1900 and BIO 1910.","Environmental,** available as of 09/03/2019",Richland,None,Biology,4
"Heredity,** available as of 09/03/2019,Principles of heredity with applications to plant, animal and human inheritance; current advances in genetics and their bearing on the life sciences. Lecture and may also include demonstrations, discussion and field trips.","Heredity,** available as of 09/03/2019",Biology,None,Baraboo/Sauk County,3
"Genetics,This course explores what genes are, how they are expressed, and how they are passed on from generation to generation.  In addition, applications of genetics in relation to mutation, disease, gene therapy, criminalistics and genetic engineering are also explored.",Genetics,"Bus, Inds, Life Sci, Ag",None,Biology,3
"Personalized Learning Experience,Alternative learning experiences that fall in between independent research and the traditional classroom.  This involves working with a faculty/staff advisor to determine objectives, expectations, and assessments. Up to two credits can be counted toward a biology major.",Personalized Learning Experience,"Bus, Inds, Life Sci, Ag",None,Biology,1 - 3
"Workshop in Biology,Varying topics.  Does not count toward major or minor in Biology or minor in Biotechnology.",Workshop in Biology,"Bus, Inds, Life Sci, Ag",None,Biology,1
"Molecular Biology,Detailed structural analysis of the biological molecules DNA, RNA, and proteins in relation to cellular processes.  Exploration of experimental approaches that explain the molecular basis for all life activities.",Molecular Biology,Lecture - Required,Main Campus,BIOLOGY 4040,5
"Freshwater Biology,Examination of the physical components and biological communities of lakes, streams, and wetlands and the relationships between them.  Integration of fieldwork, scientific literature, and laboratory analyses.",Freshwater Biology,BIOLOGY 3750,"P:  BIOLOGY 1650 and BIOLOGY 1750 and BIOLOGY 2420 and (CHEMSTRY 1050 or CHEMSTRY 1140) or consent of instructor, BIOLOGY 3450 recommended","Bus, Inds, Life Sci, Ag",4
"Ornithology,Anatomy, physiology, life histories, and ecology of birds. Laboratory study and field trips emphasize identification of local species.",Ornithology,BIOLOGY 3030,P: BIOLOGY 1650 and BIOLOGY 1750 or consent of instructor,"Bus, Inds, Life Sci, Ag",4
"Advanced Physiology,In depth study of physiologic processes from molecular to organismic level.  Approached from a topical  format,  emphasizing recent advancements.",Advanced Physiology,BIOLOGY 4240,P:  BIOLOGY 1650 and BIOLOGY 1750 and BIOLOGY 2420 and BIOLOGY 2140 or BIOLOGY 2340 and CHEMSTRY 1240 or consent of instructor,"Bus, Inds, Life Sci, Ag",5
"Forensic Botany,A survey of the structures of plants, fungi, and algae that can be used as botanical evidence in criminal investigation.  Discussion of current literature, legal issues and future trends.  Laboratory includes microtechnique, sample collection and preservation techniques, and testing methods.",Forensic Botany,BIOLOGY 4150,P:  BIOLOGY 1150 or BIOLOGY 1350 or BIOLOGY 1650 and BIOLOGY 1750 or consent of instructor; recommended: BIOLOGY 2450 and BIOLOGY 3550,"Bus, Inds, Life Sci, Ag",4
"Mammalian Histology,The organization of cells and their products to form tissues and organs; morphological and functional comparisons of tissue organization of representatives from the class Mammalia.",Mammalian Histology,BIOLOGY 4340,P:  BIOLOGY 1650 and BIOLOGY 1750 and BIOLOGY 2420 or consent of instructor,"Bus, Inds, Life Sci, Ag",4
"Topics in Biology,Presentations of biological topics.",Topics in Biology,BIOLOGY 4410,P:  BIOLOGY 1650 and BIOLOGY 1750 and BIOLOGY 2420 or consent of instructor,"Bus, Inds, Life Sci, Ag",1 - 3
"Mammalian Endocrinology,The structural and functional classification of hormones, principles of hormone action, and the regulation of body functions by the endocrine system with emphasis on homeostasis.",Mammalian Endocrinology,"Bus, Inds, Life Sci, Ag",None,Biology,3
"Plant Pathology,This course covers the major aspects of plant disease including abiotic and biotic causes, disease and symptom recognition, how disease occurs, and methods and techniques for prevention and control.",Plant Pathology,BIOLOGY 4530,P:  BIOLOGY 1350 (or BIOLOGY 1650 & BIOLOGY 1750) BIOLOGY 2420 or consent of instructor,"Bus, Inds, Life Sci, Ag",3
"Biology Internship Experience,Enhancement of the educational experience through placement of a student with a cooperating agency, business, industry, or institution. The nature of the assignment, type of experience, number of credits, and evaluation procedure to be stipulated in a statement of agreement (learning contract) between the student and department.  Does not count toward a major or a minor in biology.",Biology Internship Experience,"Bus, Inds, Life Sci, Ag",None,Biology,1 - 8
"Biotechnology Seminar,Selected topics from among recent advances in biotechnology.",Biotechnology Seminar,"Bus, Inds, Life Sci, Ag",None,Biology,2
"Selected Regional Habitats,Offers a first-hand introduction to the flora and fauna of selected unusual habitats in the form of an interim field trip. Up to three credits can be counted toward a biology major.",Selected Regional Habitats,"Bus, Inds, Life Sci, Ag",None,Biology,1 - 3
"Independent Research in Biology,Individual specialized study.",Independent Research in Biology,"Bus, Inds, Life Sci, Ag",None,Biology,1 - 3
"Senior Thesis,This course provides students a unique, ""capstone"" opportunity to conduct research in collaboration with their peers and integrate knowledge from the different areas of biology.  With assistance from a faculty coordinator, students from all areas of biology will work together to complete their individual independent research projects.  Students will produce a manuscript-quality report and make a formal presentation on their research.",Senior Thesis,"Bus, Inds, Life Sci, Ag",None,Biology,1
"General Survey of Microbiology,** available as of 09/03/2019,Survey of micro-organisms and their activities; emphasis on structure, taxonomy, function, ecology, nutrition, physiology, pathology and genetics. Survey of applied microbiology: agricultural, medical, industrial, environmental and food. The laboratory is an introduction to standard techniques and procedures in general microbiology. Lecture, lab, and may also include demonstrations, discussion and field trips.","General Survey of Microbiology,** available as of 09/03/2019",Biology,Biology,Main Campus,4
"Introduction to Agribusiness,Presents a background of American agriculture; interrelationships of agricultural industries; economic concepts of production, form of markets, marketing and consumption of food in the United States; principles of management; and key issues and trends in agribusiness.",Introduction to Agribusiness,AGBUS 1500,None,"Bus, Inds, Life Sci, Ag",3
"World Population, Food and Resources,Examine current and future world population trends; study world food problems, nutrition, world hunger, and food supply and demand situation; analyze impact of trade and foreign aid, scrutinize economic development and analyze the impact on resources for society and individuals under various cultural, religious, economic, geographical, and political conditions.","World Population, Food and Resources",Social Sciences,Main Campus,AGBUS 2330,3
"Agricultural Marketing,Principles and organization of agricultural marketing; market functions, structure, and organizations; commodity and branded marketing.",Agricultural Marketing,"Bus, Inds, Life Sci, Ag",None,Agriculture,3
"Agribusiness Professional Development I,An introductory course for discovering personal and career goals, an exploration of the agribusiness industry, and preparation for securing an internship which is a requirement of the major.  Students will explore their career interests through reading, interviewing, job shadowing, and other career exploration activities.  Students will also prepare and have critiqued resumes, cover letters, and develop interviewing skills.",Agribusiness Professional Development I,AGBUS 1000,None,"Bus, Inds, Life Sci, Ag",1
"Morphology and Evolution of Vascular Plants,This broad course covers the structure or form (morphology) of the adult plant, its tissues, development and reproductive details, as well as the ecology, evolutionary history, and taxonomy of the group in which it is classified.  Focus will be given to all phyla of extant vascular plants and major groups of extinct vascular plants, presenting the organisms from an evolutionary perspective.",Morphology and Evolution of Vascular Plants,BIOLOGY 3550,P: BIOLOGY 1350 or (BIOLOGY 1650 and BIOLOGY 1750),"Bus, Inds, Life Sci, Ag",4
"Plant Communities of Wisconsin,This course provides an introduction to the major plant communities of Wisconsin and neighboring states.  It emphasizes the identification, biogeographic distribution, interrelationships, conservation and management of the major regional plant communities as well as their key plant species.  Two extended weekend field trips are required.",Plant Communities of Wisconsin,BIOLOGY 3650,P: BIOLOGY 1650 and 1750 or BIOLOGY 1350 or consent of instructor; recommended: BIOLOGY 3450,"Bus, Inds, Life Sci, Ag",4
"Agricultural Finance,Capital and credit needs of farmers, agencies supplying credit needs, farm loan analysis, budgeting and capital investment analysis.",Agricultural Finance,"Bus, Inds, Life Sci, Ag",None,Agriculture,3
"Human Gross Anatomy,There is nothing more fascinating than learning about the human body.  Its structure, organization and physiology are of interest from a personal health and clinical standpoint.  This course will provide the opportunity for advanced students to engage in an intense study of human gross anatomy.  This course will have a significant lab component where students will apply concepts of anatomy and physiology to the prosected human cadaver.",Human Gross Anatomy,"Bus, Inds, Life Sci, Ag",None,Biology,4
"Immunology,The basic concepts of immunology. The normal and abnormal immune response.",Immunology,"Bus, Inds, Life Sci, Ag",None,Biology,2
"Farm Business Management,The study and application of farm business management issues and ,
systems including: current topics and trends; farm financial records; farm business arrangements and transfer planning; managing capital and human resources; tax management; farm business analysis, benchmarking and decision-making; government programs; and sustainability.",Farm Business Management,AGBUS 3460,P:  AGBUS 1500 and ACCTING 2010 or consent of instructor,"Bus, Inds, Life Sci, Ag",3
"Quantitative Methods in Farm and Agribusiness,This course provides both introduction to and application of the quantitative tools often used in farm and agribusiness decision-making.  The toolbox will include decision analysis, statistical quality control, non-parametric methods, regression, correlation, tests for dependence, hypothesis testing, simulation, optimization, and others.  Review interpretation of agricultural statistics and journal articles.",Quantitative Methods in Farm and Agribusiness,"Bus, Inds, Life Sci, Ag",None,Agriculture,3
"Agricultural Prices and Risk Management,Analysis of agricultural price trends; elasticity of demand and supply; seasonal prices; and price cycles, and price management tools and strategies.  Understanding the theory of demand and supply; how they change; and the impact on agricultural prices.  Understanding and applying the concepts of risk and risk management with special emphasis on price risk management.",Agricultural Prices and Risk Management,"Bus, Inds, Life Sci, Ag",None,Agriculture,3
"Agricultural Consulting and Sales,The history, image, and economic importance of agricultural sales and consulting are emphasized; the nature and functions of contemporary, professional sales consulting; and the selling process, as it applies to agricultural inputs and the food and fiber industry.  Current issues facing the industry.",Agricultural Consulting and Sales,"Bus, Inds, Life Sci, Ag",None,Agriculture,3
"The Animal Rights and Animal Welfare Social Movements,Students will learn about the past and present actions of the animal rights and animal welfare movements and will be expected to theorize using facts on what the future may hold if each movement continues ahead.  Emphasis will be placed on class debates, mature discussions/interactions, fact-finding assignments and a major project researching individuals that have been influential to either movement or how they have impacted the opposing movement.",The Animal Rights and Animal Welfare Social Movements,ANSCI 4120,P: Junior standing,"Bus, Inds, Life Sci, Ag",3
"Agribusiness Marketing Management,Development of a marketing plan; review and work with media; advertising and promotional programs; merchandising strategies; financial market and demographic research and analysis; pricing and product strategies for agricultural (food and inputs) products.",Agribusiness Marketing Management,"Bus, Inds, Life Sci, Ag",None,Agriculture,3
"Livestock and Meat Marketing,Economic analysis of principles and methods of marketing, evaluating, and pricing meat animals, and the marketing and merchandising of meat and meat products for the beef, pork and poultry industries.",Livestock and Meat Marketing,"Bus, Inds, Life Sci, Ag",None,Agriculture,3
"Agricultural Policy Seminar,The making of Agricultural, Food, Rural, and Environmental Policy including history, process, political dynamics, and players; the current state of legislative developments; and an evaluation of the economic, environmental, and social impacts of current and alternative policy.",Agricultural Policy Seminar,"Bus, Inds, Life Sci, Ag",None,Agriculture,3
"Producer and Consumer Cooperatives,Development, principles, legal basis, organization, finance, taxation, and management of agricultural, consumer, and industrial cooperatives.",Producer and Consumer Cooperatives,"Bus, Inds, Life Sci, Ag",None,Agriculture,3
"Agribusiness Professional Development II,Professional and career development towards obtaining career objectives.  Course objectives include planning and development of credentials needed to compete for a job position, learning how to package credentials and communicate them to prospective employers, and further developing professional skills and knowledge such as agribusiness ethics, etiquette, changing trends, and current events in the industry.  A primary course activity is the development of a personal portfolio that showcases special achievements in being visionary, managing budgets, communication, professionalism and stewardship of people.",Agribusiness Professional Development II,"Bus, Inds, Life Sci, Ag",None,Agriculture,1
"Agricultural Commodity Price Forecasting,Analyze basic commodity price fluctuations. The three major approaches include technical, fundamental, and behavioral analyses. Primary emphasis involves charting theory.",Agricultural Commodity Price Forecasting,"Bus, Inds, Life Sci, Ag",None,Agriculture,3
"Individual Study in the Agricultural Business,Advanced study on a particular topic or problem in the area of specialization within the agricultural industries.",Individual Study in the Agricultural Business,"Bus, Inds, Life Sci, Ag",None,Agriculture,1 - 3
"Agricultural Law,An introduction to the historical background of law and legal institutions; various legal contracts; law pertaining to real and personal property; landlord and tenant arrangements; agricultural business arrangements, partnerships, corporations, and cooperatives; legal aspects of sales transactions; legal aspects of credit; governmental regulatory agencies.",Agricultural Law,"Bus, Inds, Life Sci, Ag",None,Agriculture,3
"Agro-Ecosystem Research,Training in research methods, use of scientific literature and evaluation of data; results presented in a written report and oral presentation.",Agro-Ecosystem Research,CIVILENG 3410,AGRIC 3410,"Engineering, Math and Science",1 - 3
"Special Topics in Agriculture,Topics will vary and be of a type that does not easily fit into normal and current departmental coverage or are of multidisciplinary within the field of Agriculture. Topics may also be contemporary issues or ones that are being tested for future standing.",Special Topics in Agriculture,AGRIC 3990,None,"Bus, Inds, Life Sci, Ag",1 - 3
"Faculty Led Short-Term International Experience in Agriculture,Extended trip and study of various agricultural practices, topics and cultures.  Course may include topics related to climate, economics, agribusiness, policy, geography, soils, landscapes, markets, crops, livestock and cultural diversity.  Location and duration of travel courses will vary.  Expenses will be paid by student.  Pre and Post-trip sessions will be arranged.  Check with School of Agriculture for current offerings.",Faculty Led Short-Term International Experience in Agriculture,AGRIC 4600,None,"Bus, Inds, Life Sci, Ag",3
"Agribusiness Management,Management of the agribusiness firm including planning, organizing, coordinating, control and communication.  Special emphasis is given to learning and decision-making through case studies including financial analysis, investments, organizational structure, etc.",Agribusiness Management,"Bus, Inds, Life Sci, Ag",None,Agriculture,3
"Field Methods in Agricultural Hydrology,Exploration of the water budget as it pertains to agro-ecosystems.  Field explorations and in-class analysis of rainfall rates, evaporation, transpiration, infiltration, groundwater flow, groundwater quality, stream velocity and flowrate, edge-of-field runoff quantity and quality.",Field Methods in Agricultural Hydrology,CIVILENG 3400,"P: a ""C-"" or better in CIVILENG 2220 or COMPUTER 1830 or consent of instructor","Engineering, Math and Science",1
"Agricultural Business Internship,Supervised experiential learning opportunities in collaboration with agricultural businesses and public agencies.",Agricultural Business Internship,"Bus, Inds, Life Sci, Ag",None,Agriculture,3 - 6
"Agricultural Engineering Technology Internship,Supervised experiential learning opportunities in cooperation with businesses and pubic agencies related to Agricultural and Industrial Engineering Technology",Agricultural Engineering Technology Internship,"Bus, Inds, Life Sci, Ag",None,Agriculture,3 - 6
"Soil and Water Conservation Engineering,Land description and characteristics of watersheds.  Design, layout, and construction of waterways, diversions, terraces, and earthen structures.",Soil and Water Conservation Engineering,AGET 3950,P:  AGET 1750 or SCSCI 2230 or RECLAM 1010 or consent of instructor,"Bus, Inds, Life Sci, Ag",3
"Electrical Applications in Agriculture,Elementary electricity; planning of farmstead electrical systems; selection, operation, and maintenance of electrical equipment; application of electricity to heat, light, and power; emergency power generation.",Electrical Applications in Agriculture,AGET 3850,P:  AGET 1750 or consent of instructor,"Bus, Inds, Life Sci, Ag",3
"Engines and Tractor Systems,Operating principles, maintenance, adjustment, and testing of gas and diesel engines used in agriculture.  Analysis of tractor and power transmission systems.",Engines and Tractor Systems,AGET 3830,P:  AGET 1750 or consent of instructor,"Bus, Inds, Life Sci, Ag",3
"Structures and Environmental Control,Planning and construction of agricultural buildings with respect to functions, aesthetic and environmental aspects; construction components; material utilization; moisture and heat transmission; ventilation system design; and physiological effects of environment on animals and crops.",Structures and Environmental Control,AGET 4890,P:  AGET 1750 or consent of instructor,"Bus, Inds, Life Sci, Ag",3
"Independent Study in Equipment, Structure and Power Systems,Advanced study in an area of specialization.","Independent Study in Equipment, Structure and Power Systems","Bus, Inds, Life Sci, Ag",None,Agriculture,1 - 3
"Agricultural Commodity Marketing,Current marketing trends and problems, futures marketing and forward contracting, bargaining, international trade, current marketing issues of selected agricultural commodities.",Agricultural Commodity Marketing,"Bus, Inds, Life Sci, Ag",None,Agriculture,3
"Capstone Course: From Atoms to Ecosystems - The Study of Life,This course is an exciting opportunity for students to integrate knowledge from the different areas of biology and associated disciplines to an interrelated whole, the study of life.  In this endeavor, students will be applying their knowledge to current scientific and bioethical issues in biology.  Students will also explore and reflect on what it means to be a biologist.",Capstone Course: From Atoms to Ecosystems - The Study of Life,"Bus, Inds, Life Sci, Ag",None,Biology,1
"Math for Computer Science,This course covers important topics that serve as a foundation for many computer science courses. These topics may include logic, sets, functions, mathematical reasoning, counting, probability, relations, graphs, trees, Boolean algebra, and algorithms.",Math for Computer Science,APC 3100,None,"Engineering, Math and Science",3
"Introduction to Business,This course introduces the student to the major functional areas of business including the roles of accounting, finance, human resources, marketing, information systems, and operations in the organization. In addition, the role of business in a free enterprise system, business ethics, leadership, leading change and the competitive global business environment will be covered.",Introduction to Business,APC 3200,None,"Engineering, Math and Science",3
"Technical and Professional Communication,This course covers technical and professional communication skills and techniques.  Practice in creating effective memos and reports, developing technical material, delivering presentations, and developing team communication skills will be the focus of the course.",Technical and Professional Communication,APC 3300,None,"Engineering, Math and Science",3
"Special Topics in Agriculture,Topics will vary and be of a type that does not easily fit into normal and current departmental coverage or are of multidisciplinary within the field of Agriculture. Topics may also be contemporary issues or ones that are being tested for future standing.",Special Topics in Agriculture,AGRIC 1990,None,"Bus, Inds, Life Sci, Ag",1 - 3
"Legal and Ethical Responsibilities of the IT Professional,This course explores a range of legal, regulatory, ethical and compliance issues associated with developing software and using information systems in an organization.  Topics include the ethical and legal issues associated with data privacy and intellectual property, compliance with regulatory requirements such as Sarbanes Oxley, and other related contemporary subjects.",Legal and Ethical Responsibilities of the IT Professional,APC 3400,C: APC 3200,"Engineering, Math and Science",3
