description,title,course,prerequisite,department,unit
"Social Inequalities,The course investigates the causes and consequences of social stratification based on race, gender, social class, and nationality. Students gain a better understanding of how inequality is produced through prejudice, discrimination, conflict, and social institutions such as the family, neighborhoods, educational system, labor markets, and criminal justice system.",Social Inequalities,Social Sciences,Main Campus,SOCIOLGY 3230,3
"Chicano Literature,An examination of representative texts from various Chicana/Chicano writers, covering a range of genres and generations.  There will be an emphasis on the relationship between literary production and historical context, in particular, the involvement of the writers in the social and political  conflicts affecting the Chicano community.",Chicano Literature,Liberal Arts and Education,ETHNSTDY 3410,English,3
"Ethnic and Gender Equity in Education,To increase an appreciation, understanding, and awareness of ethnic and gender equity issues in the educational process and in society. The student will view equity issues through research, historical, philosophical, sociological, and psychological perspectives and the implications that each arena has on the lives of all of us.",Ethnic and Gender Equity in Education,Ethnic Studies,Teaching,Gender Studies,3
"Management, Gender & Race,This course reviews the changing nature of management and explains why gender and race/ethnicity have become important concerns of business.  It examines the status of women and people of color in managerial or administrative positions and discusses socialization processes, stereotypes, equal employment opportunity laws, diversity management, illegal harassment, and power in organizations.  Networking, mentoring, work/life balance, and career planning also are addressed.","Management, Gender & Race",Gender Studies,Main Campus,BUSADMIN 3340,3
"African-American History 1619 to Present,The historical experience of African-Americans since 1619.",African-American History 1619 to Present,Historical Perspective,Main Campus,HISTORY 3240,3
"African-American Literature,A survey of African-American literature beginning in the ante bellum period and continuing to the present, including oral forms (folk tales and spirituals), novels, poetry, drama, autobiography, and other selected non-fiction.",African-American Literature,Humanities,Main Campus,ENGLISH 3730,3
"Philosophy in the Modern World,The principal thinkers and movements of Western philosophy from the Renaissance into the 20th century.",Philosophy in the Modern World,PHLSPHY 2430,None,Liberal Arts and Education,3
"Wisconsin Indian Literature,An exploration of Wisconsin Indian literatures from the oral tradition to the present; texts studied will include epics, legends, poetry, novels, and selected non-fiction, including such writers as Mountain Wolf Woman, Louise Erdrich, and Susan Power.",Wisconsin Indian Literature,Humanities,Main Campus,ENGLISH 3760,3
"Black Women and Feminism in the U.S.,An interdisciplinary examination of the historical and contemporary relationship between black women in the United States and the feminist movement.  Authors discussed may include Frances Harper, Ida Wells-Barnett, bell hooks,  Audre Lorde, and others.",Black Women and Feminism in the U.S.,Gender Studies,Main Campus,WOMGENDR 3830,3
"Multicultural Dramatic Literature,An in-depth survey of the rise and development of minority characters and themes in American theatre since the 20th Century. Particular emphasis will be placed on the dramatic literature and theatrical criticism and production since 1990.",Multicultural Dramatic Literature,THEATRE 4850,P: ENGLISH 1230,Liberal Arts and Education,3
"Native America and Colonial Borderlands to 1887,The history of Native North America begins well-before Columbus arrived. Paleo-Indians struggled and thrived, cooperated and changed giving way to early-modern Native nations by 1000 BCE. After 1492 Native nations cooperated and clashed with each other and with competing European empires for control of land, labor, and resources. This story is not separate from the narrative of early American history as a whole, but examining it closely permits appreciation of First Nation worldviews, times of Pan-Indian cooperation, and moments of cooperation between American Indians, Europeans, and Africans on the borderlands of the Atlantic World.",Native America and Colonial Borderlands to 1887,Ethnic Studies,Liberal Arts and Education,Historical Perspective,3
"Native American History, What you thought you knew,The history of Native North America begins long before the Dawes Act of 1887. Native peoples have faced the challenges of the nineteenth, twentieth and twenty-first centuries in significant ways. This story is not separate from the narrative of American history, but an integral part of it. Native Americans, including 20,000 veterans, recovered from the Civil War. Land policy, treaties, and tribal sovereignty continue to influence Native communities today. Tribal members have built skyscrapers, joined the Peace Corps, baffled code-breakers, and much more. First Nations identity continues to evolve as a central part of the American story.","Native American History, What you thought you knew",Ethnic Studies,Liberal Arts and Education,Historical Perspective,3
"Major Traditions in Eastern Religions,An introductory study of Hinduism, Buddhism, Zoroastrianism, Islam, Confucianism, Taoism, Shinto and Zen, with outlines of their histories, developments of their doctrines and consideration of their contribution to the religious thought of the world.",Major Traditions in Eastern Religions,International Education,Main Campus,PHLSPHY 2930,3
"Asian American Literature,A survey of Asian-American literature beginning in the early 1900s and continuing to present times.  Includes works of fiction, autobiography, poetry, and drama.  Focuses on writers from different literary and oral traditions including (but not limited to) Mandarin Chinese, Japanese, Thai, Hmong, Vietnamese, and Indian, and examines the impact of family, culture, and gender both within these traditions and between a particular tradition and U.S. popular culture.",Asian American Literature,Humanities,Main Campus,ENGLISH 3740,3
"Ancient History I,** available as of 09/03/2019,Survey of the history of civilization from the beginnings in Mesopotamia and Egypt through Classical Greece with emphasis on institutional and social development.","Ancient History I,** available as of 09/03/2019",Liberal Arts and Education,Richland,History,3
"World Civilization II,The history of human civilization since 1715, with emphasis upon the interaction among the peoples of Africa, Asia, the Middle East, the Americas, and Europe in the modern period.",World Civilization II,Historical Perspective,History,International Education,3
"American Literature of Ethnicity and Immigration,An examination of literature from a variety of U.S. ""racial"" and ""ethnic"" groups, including African-, Italian-, Mexican-, Jewish-, Asian-, and Native-American.  Emphasis will be placed on the meanings of ""race"" and ""ethnicity,"" the effects of immigration, and the impact of gender in this literature.",American Literature of Ethnicity and Immigration,Humanities,Main Campus,ENGLISH 3750,3
"History of the United States since 1877,Continuation of a general survey of American history based on major social, political and economic developments from the Reconstruction to the present.",History of the United States since 1877,Historical Perspective,Main Campus,HISTORY 1430,3
"History of the United States to 1877,A general survey of American history based on major social, political and economic developments from colonial times through the Civil War and Reconstruction.",History of the United States to 1877,Historical Perspective,Main Campus,HISTORY 1330,3
"Ethnicity, Race and Crime,A study of the correlation between ethnicity, race, crime and criminality in the United States.  This course explores the interrelatedness of ethnicity, race, criminal law, and the sanctioning of criminal behavior in the United States.","Ethnicity, Race and Crime",CRIMLJUS 2830,sophomore standing to enroll in this class,Liberal Arts and Education,3
"History of the United States to 1877,** available as of 09/03/2019,A general survey of American history based on major social, political and economic developments from colonial times through the Civil War and Reconstruction.","History of the United States to 1877,** available as of 09/03/2019",Historical Perspective,Main Campus,HISTORY 2330,3
"History of the United States since 1877,** available as of 09/03/2019,Continuation of a general survey of American history based on major social, political and economic developments from the Reconstruction to the present.","History of the United States since 1877,** available as of 09/03/2019",Historical Perspective,Main Campus,HISTORY 2430,3
"Race, Gender, and United States Labor History,Social, cultural, and economic history of American working people from the colonial period to the present.","Race, Gender, and United States Labor History",Historical Perspective,Main Campus,HISTORY 3010,3
"World Civilization II,** available as of 09/03/2019,The history of human civilization since 1715, with emphasis upon the interaction among the peoples of Africa, Asia, the Middle East, the Americas, and Europe in the modern period.","World Civilization II,** available as of 09/03/2019",Historical Perspective,History,International Education,3
"Ethnic Rights and Politics,The course examines changing patterns of ethnic, gender and race relations; legislative and judicial developments affecting civil rights; political movements, political, social and economic discrimination;  the judicial system and legal protection for civil rights and the status and circumstances of  women and other minorities.",Ethnic Rights and Politics,Social Sciences,Main Campus,POLISCI 3730,3
"Introduction to Public History,** available as of 09/03/2019,An introduction to the field of public history with topics for classroom discussion including the concept of public memory, historic preservation theory and practice, creation of museum exhibits, and career opportunities in the field of history outside of education. Students will apply knowledge gained from the course to evaluate historic exhibits and gain field work by undertaking their own exhibit, archival or preservation project.","Introduction to Public History,** available as of 09/03/2019",Liberal Arts and Education,Richland,History,3
"Ancient History II,** available as of 09/03/2019,Survey of the history of civilization from Alexander the Great through the fall of the Roman Empire with emphasis on institutional and social development.","Ancient History II,** available as of 09/03/2019",Liberal Arts and Education,Richland,History,3
"World Civilization I,** available as of 09/03/2019,The history of civilization to 1715, with emphasis upon the interaction among the peoples of Africa, Asia and Europe.","World Civilization I,** available as of 09/03/2019",Historical Perspective,Main Campus,HISTORY 2010,3
"American Military History,A survey of American military history with emphasis on the development of military policy and civil-military relations.",American Military History,HISTORY 3080,P:  HISTORY 1330 or HISTORY 1430 or consent of instructor,Liberal Arts and Education,3
"World Civilization I,The history of civilization to 1715, with emphasis upon the interaction among the peoples of Africa, Asia and Europe.",World Civilization I,Historical Perspective,Main Campus,HISTORY 1010,3
"Native America and Colonial Borderlands to 1887,The history of Native North America begins well-before Columbus arrived. Paleo-Indians struggled and thrived, cooperated and changed giving way to early-modern Native nations by 1000 BCE. After 1492 Native nations cooperated and clashed with each other and with competing European empires for control of land, labor, and resources. This story is not separate from the narrative of early American history as a whole, but examining it closely permits appreciation of First Nation worldviews, times of Pan-Indian cooperation, and moments of cooperation between American Indians, Europeans, and Africans on the borderlands of the Atlantic World.",Native America and Colonial Borderlands to 1887,Historical Perspective,Main Campus,HISTORY 3170,3
"Native American History, What you thought you knew,The history of Native North America begins long before the Dawes Act of 1887. Native peoples have faced the challenges of the nineteenth, twentieth and twenty-first centuries in significant ways. This story is not separate from the narrative of American history, but an integral part of it. Native Americans, including 20,000 veterans, recovered from the Civil War. Land policy, treaties, and tribal sovereignty continue to influence Native communities today. Tribal members have built skyscrapers, joined the Peace Corps, baffled code-breakers, and much more. First Nations identity continues to evolve as a central part of the American story.","Native American History, What you thought you knew",Historical Perspective,Main Campus,HISTORY 3180,3
"The West in American History,The frontier and the American west from 1763-1920.",The West in American History,HISTORY 3230,P:  HISTORY 1330 or HISTORY 1430 or consent of instructor,Liberal Arts and Education,3
"Gilded Age and Progressive Era,The transformation of the United States from an agrarian nation to an urban, industrial society 1877-1917.",Gilded Age and Progressive Era,HISTORY 3150,P:  HISTORY 1430 or consent of instructor,Liberal Arts and Education,3
"New Nation,AmericanMajor trends and developments in the new nation: framing the constitution, establishment of a new government, development and expansion, the Jacksonian era 1783-1848.",New Nation,HISTORY 3130,P:  HISTORY 1330 or consent of instructor,Liberal Arts and Education,3
"African-American History 1619 to Present,The historical experience of African-Americans since 1619.",African-American History 1619 to Present,Historical Perspective,Main Campus,HISTORY 3240,3
"Philosophy of Law,A WRITING EMPHASIS COURSE IS DESIGNED TO EFFECTIVELY USE WRITING TO ENHANCE STUDENT LEARNING OF COURSE SPECIFIC CONTENT THROUGH VARIOUS MEANS SUCH AS SELF-REFLECTION, ANALYSIS, PROBLEM SOLVING AND RESEARCH.  A critical study of major concepts of law with particular emphasis on how the various notions of law are governed by fundamental views concerning the nature of reality and the individual person.",Philosophy of Law,Humanities,Philosophy,Writing Emphasis,3
"History of Wisconsin,Development of the state of Wisconsin from colonial times to the present.",History of Wisconsin,HISTORY 3320,P:  HISTORY 1430 or consent of instructor,Liberal Arts and Education,3
"History of Minorities in America,** available as of 09/03/2019,This course will explore the role of racial minorities including African Americans, Native Americans, Hispanics, and Asian Americans. As an Ethnic Studies (ES) course, this course thoroughly integrates the experiences of these groups into US history in a manner that fosters understanding and appreciation of their perspectives and experiences as well as their contributions to, and interactions within, American society. Many instructors also explore the experiences of ethnic, religious, and sexual minorities, or other traditionally underrepresented groups.","History of Minorities in America,** available as of 09/03/2019",HISTORY 3250,HISTORY 3250,Liberal Arts and Education,3
"Modern Africa,Examines the trajectory of African history from the early 19th century to contemporary times.  Focuses on three defining moments:  the ""Scramble"" and partition of Africa, the institutionalization of the colonial project, and the struggles and challenges of independence.  Emphasis is on African agency and the African voice.",Modern Africa,International Education,Main Campus,HISTORY 3460,3
"The United States since 1945,A detailed examination of the U S after World War II, leading up to the present time.  The course is structured around, though not limited to, these recurring subjects:  the U S as a world power and its overseas commitments, including war; the stratification of U S society along racial, gender and class lines, and the sustained efforts of so many Americans to secure equality; the partisanship of U S politics the links between class, capitalism, and culture.",The United States since 1945,HISTORY 3480,P:  HISTORY 1430 or consent of instructor,Liberal Arts and Education,3
"American Women's History,Surveys the changing patterns of domestic and family life, work, education and public participation of American women from the Colonial period to the present.",American Women's History,Historical Perspective,Main Campus,HISTORY 3520,3
"British Isles to 1714,The political evolution of the English state and the national development and interactions of the English, Irish, Scottish, and Welsh peoples from their origins to 1714.",British Isles to 1714,HISTORY 3610,P:  HISTORY 1010 or HISTORY 1020 or consent of instructor,Liberal Arts and Education,3
"British Isles since 1714,The political evolution of the British state and the national development and interactions of the English, Irish, Scottish, and Welsh peoples from 1714 until the present.",British Isles since 1714,HISTORY 3620,P:  HISTORY 1010 or HISTORY 1020 or consent of instructor,Liberal Arts and Education,3
"Imperialism and Resistance,European political and economic imperialism in Africa and Asia from the 15th century to the present.  Emphasis is on Asian and African agency and the Asian and African voice.",Imperialism and Resistance,International Education,Main Campus,HISTORY 3640,3
"History of U S Foreign Relations,An introduction to the origin and evolution of political, economic, and cultural relations between the United States and the rest of the world.",History of U S Foreign Relations,HISTORY 3450,P:  HISTORY 1330 or HISTORY 1430 or consent of instructor,Liberal Arts and Education,3
"The United States, 1898-1945,A detailed historical examination of the United States from the turn of the twentieth century through the end of World War II. The course is structured around, though not limited to, the following subjects: the emergence of the United States as a world power; the growth and contractions of the nation's industrial economy; the stratification of American society along racial, gender, and class lines; and the sustained efforts of millions of citizens to secure equality.","The United States, 1898-1945",HISTORY 3410,P:  HISTORY 1430 or consent of instructor,Liberal Arts and Education,3
"Modern Latin American History,Political, social, economic, and cultural history of Latin America from the start of the 19th century to the present.",Modern Latin American History,International Education,Main Campus,HISTORY 3670,3
"World History Through Film,** available as of 09/03/2019,This course will use film to approach significant problems in history.  The course will have two avenues of investigation. First, students will be asked to rethink the relationships between ""reality"" and ""representation"" and to conceptualize the boundaries between history and film.  Second, students will be given a deeper understanding of global events of the twentieth-century. Specifically, the course will be focused on three historical themes: revolution, genocide, and imperialism. These topics will frame our discussion which will include, but not be limited to, historical issues concerning religion, economics, government, politics, geography, ethnicity, art, and philosophy.","World History Through Film,** available as of 09/03/2019",International Education,Main Campus,HISTORY 3680,3
"Women in European Civilization,Covers activities of, and attitudes towards, women in ancient Greece and Rome, the Middle Ages, the Renaissance, the Reformation, the Enlightenment, the French Revolution, the 19th century, the two modern wars, and the end of the 20th century.  Analyzes women in the context of family life, work life, education, politics, science, and social movements.",Women in European Civilization,Historical Perspective,Main Campus,HISTORY 3700,3
"Colonial Latin American History,Political, social, economic, and cultural history of Latin America from pre 1500 to the 1800s.",Colonial Latin American History,International Education,Main Campus,HISTORY 3660,3
"US Legal History of Race and Gender,This course will examine the interplay among race, gender, class, ethnicity, nationality, and legal issues from the colonial period of American history to the present. In addition to the discussion of U.S. Supreme Court decisions and U.S. Constitutional issues, this course will discuss legal movements, discourses, or conflicts from the bottom up and analyze legal issues as a part of broad social and cultural movements.",US Legal History of Race and Gender,HISTORY 3160,P:  HISTORY 1330 or HISTORY 1430 or consent of instructor,Liberal Arts and Education,3
"Ancient Civilizations,The history of ancient civilizations including artistic, cultural, economic, intellectual, political, religious and social development.",Ancient Civilizations,HISTORY 3710,P:  HISTORY 1010 or consent of instructor,Liberal Arts and Education,3
"The Vietnam War,A survey of the 30-year duration (1945-1975) of US intervention in Southeast Asia, which led to the Vietnam War.  Emphasis is placed on the domestic and geopolitical sources of Vietnam's struggle for independence, US anticommunist policies, US military strategy, and opposition to the war.",The Vietnam War,HISTORY 3400,P:  HISTORY 1330 or HISTORY 1430 or consent of instructor,Liberal Arts and Education,3
"The Renaissance and Reformation,Europe in the transition period from medieval to modern civilization.  Special emphasis on the intellectual, artistic, and cultural developments in Italy and northern Europe from 1350 to 1550 and the new approaches to Christianity embodied by the Protestant Reformation of 1517 and its medieval precursors.",The Renaissance and Reformation,HISTORY 3740,P:  HISTORY 1010 or consent of instructor,Liberal Arts and Education,3
"French Revolution and Napoleon 1789-1815,Background, development and results of the French Revolution and Age of Napoleon. Coverage includes the European scene in the late 18th century and the impact on the contemporary world.",French Revolution and Napoleon 1789-1815,HISTORY 3830,P:  HISTORY 1020 or consent of instructor,Liberal Arts and Education,3
"Medieval Europe,Rise of national monarchies, the church, feudalism, the commercial revolution, the Crusades,intellectual developments, and the Black Death are among the highlights in this examination of Europe from the fall of the Western Roman Empire to 1500.",Medieval Europe,HISTORY 3730,P:  HISTORY 1010 or consent of instructor,Liberal Arts and Education,3
"Twentieth Century Europe,The origin and development of the main trends, factors and problems of today's world, with discussion of contemporary issues.",Twentieth Century Europe,HISTORY 3850,P:  HISTORY 1020 or consent of instructor,Liberal Arts and Education,3
"Early Modern Europe,Examines the first three centuries of Europe's modern age, from the late 15th century to the outbreak of the French Revolution in 1789.  The development of new political, economic, social, and cultural institutions distinct from those of medieval history will be covered, in areas such as religious beliefs, the exercise of monarchical power, interactions with the non-European world, and ordinary people's daily lives.",Early Modern Europe,HISTORY 3810,P:  HISTORY 1010 or HISTORY 1020 or consent of instructor,Liberal Arts and Education,3
"History of Science and Technology in Europe: Faculty-Led Short-Term Intl Exp,This course examines the modern scientific and technological history of Europe over the past five centuries, with considerable attention to the ways in which those developments have been intertwined with Europe's wider political, economic, social, and cultural history. Students will participate in a short-term study abroad program in Europe led by the course instructors; precise course destinations will vary",History of Science and Technology in Europe: Faculty-Led Short-Term Intl Exp,International Education,Main Campus,HISTORY 3890,3
"Globalism in the 21st Century,** available as of 09/03/2019,This course surveys the interconnected world of the 21st century. The historical roots of present day globalism will be explored focusing on unifying themes. The key pillars of globalism will be explored in depth as will its promises and perils. This course is the Global Studies core course for the BAAS degree.","Globalism in the 21st Century,** available as of 09/03/2019",HISTORY 3910,HISTORY 3910,Liberal Arts and Education,3
"Modern European Thought and Culture,An examination of the evolution of European intellectual culture from the rise of modernity in the Scientific Revolution through the Enlightenment, Romanticism, Realism, Existentialism, and Modernism to the (purported) end of modernity in Post-Modernism.  Related movements such as conservatism, socialism, nationalism, feminism, and fascism will also be covered.  This course conceives of thought and culture very broadly and is primarily concerned with the social, political, and economic context of Europe's intellectual development.",Modern European Thought and Culture,HISTORY 3880,P:  HISTORY 1010 or HISTORY 1020 or consent of instructor,Liberal Arts and Education,3
"Modern Middle East,The history of the Middle East from the rise of the Ottoman Empire in the 1400s to the 21st century, with an emphasis on religious, political, and economic developments.",Modern Middle East,International Education,Main Campus,HISTORY 3920,3
"History of Western Science,Covers developments in science in ancient Greece and Rome, the Middle Ages, the period of the Scientific Revolution (including Copernicus, Galileo, and Newton), Darwinism, quantum physics, and Einstein's theories.",History of Western Science,HISTORY 3860,P:  HISTORY 1010 or HISTORY 1020 or consent of instructor,Liberal Arts and Education,3
"Russia to 1856,Political, social, economic, and cultural history of North Central Asia from the origins of human settlement  until the middle of the 19th century, with particular attention to Russian civilization and the origin and growth of the Russian empire.",Russia to 1856,International Education,Main Campus,HISTORY 4110,3
"Modern China,Social, cultural, and political history of Modern China from the 19th century to the present.",Modern China,International Education,Main Campus,HISTORY 3970,3
"Nazi Germany and the Holocaust,An examination of the origins and development of Nazism in Germany under the leadership of Adolf Hitler, with particular attention to the genocide against European Jewry known as the Holocaust.",Nazi Germany and the Holocaust,HISTORY 3870,P:  HISTORY 1020 or consent of instructor,Liberal Arts and Education,3
"Cooperative Field Experience,Enhancement of the educational experience through placement of a student with a cooperating agency, business or institution. The nature of the assignment, type of experience, number of credits and evaluation procedure to be stipulated in a statement of agreement (learning contract) between the student and the department.",Cooperative Field Experience,Liberal Arts and Education,None,History,1 - 8
"Individual Research in History,Particularly useful for history majors who intend to do graduate work.",Individual Research in History,Liberal Arts and Education,None,History,1 - 3
"Historiography and Research Methods,This is a capstone course for history majors that will examine the nature of the modern historical profession and historiographical trends, beginning with the emergence of history as a professional discipline in the 19th century, and tracing from there the subsequent development of major schools of historical thought and method. Additionally, the course will provide students with extensive training in proper methods of historical research and citation, culminating with the completion of a major research paper. (Fall)",Historiography and Research Methods,Liberal Arts and Education,None,History,3
"Principles of Macroeconomics,An introduction to basic economic principles with applications to current economic problems. Demand, supply and the role of prices in the U.S. economy are briefly surveyed followed by in-depth study of the national (or macro) economy. Topics include unemployment, inflation and economic growth; theories of economic recession and prosperity; the role of money and banking in the economy; government taxing and spending policies to stabilize the economy; and the U.S. as part of the international economy.",Principles of Macroeconomics,Social Sciences,Main Campus,ECONOMIC 2130,3
"Principles of Microeconomics,An introduction to basic economic principles with applications to current economic problems. Emphasis is on understanding how households and business firms make decisions in the U.S. economy. Topics include how prices are determined and how they help solve the economic problem of scarcity, the distribution of income and wealth, problems of monopoly power, labor unions and labor problems, environmental and energy concerns, and agricultural economics.",Principles of Microeconomics,ECONOMIC 2230,None,Distance Learning Undergrad,3
"Interpretation of Business and Economic Data,The nature of statistical data in business and economics; the use of tabular, graphical and numerical analysis; probability, estimation and hypothesis testing; correlation and regression; index numbers, time series; and forecasting.",Interpretation of Business and Economic Data,ECONOMIC 2410,P:  Math 1630 or higher (3 credits),Distance Learning Undergrad,3
"Modern Japan,Social, cultural, and political history of Modern Japan from the 17th century to the present.",Modern Japan,International Education,Main Campus,HISTORY 3950,3
"Modern Russia,Political, social, economic, and cultural history of North Central Asia from the middle of the 19th century until the present time, with particular attention to Russian civilization, and the political evolution from Russian empire, to Soviet partocracy, to presidential republic.",Modern Russia,International Education,Main Campus,HISTORY 4120,3
"Accounting Issues for Managers,The interpretation and analysis of accounting information for internal and external decisions.  Includes topics of internal control system, individual income tax preparation, and key popular cost management techniques.",Accounting Issues for Managers,Distance Learning Undergrad,None,Accounting,3
"Financial Accounting,Introduction to accounting concepts and procedures including the accounting cycle, assets, liabilities, and financial statements.  Develops the ability to use accounting information for decision making.",Financial Accounting,Distance Learning Undergrad,None,Accounting,3
"Issues in History,Selected topics and issues of contemporary interest from U.S. and world history. The specific topic will be chosen by the instructor and announced when the course is scheduled. May be repeated for credit.",Issues in History,Liberal Arts and Education,None,History,1 - 3
"Advanced Accounting I,An in-depth coverage of business acquisitions and preparation of consolidated financial statements, plus coverage of foreign currency accounting and governmental accounting.",Advanced Accounting I,Distance Learning Undergrad,None,Accounting,3
"Cost Accounting,Cost accounting systems for product costing along with accumulation of costs and their usage; application of accounting information for planning and control.",Cost Accounting,Distance Learning Undergrad,None,Accounting,3
"American Colonial History,The American Colonies, British policies and the Revolution.",American Colonial History,HISTORY 3120,P:  HISTORY 1330 or consent of instructor,Liberal Arts and Education,3
"The Civil War and Reconstruction,The origins, manifestations and results of sectional controversy in the U.S in the mid-l9th century.",The Civil War and Reconstruction,HISTORY 3140,P:  HISTORY 1330 or consent of instructor,Liberal Arts and Education,3
"Programming I,This course offers an introduction to history of computing, fundamental computer concepts and structured programming techniques. Java will be used to teach the basic concepts of program analysis, design, implementation, debugging and testing. It provides hands-on coverage of simple data types, problem solving, program design, conditional execution, loops, and basic user defined methods.",Programming I,APC 3000,None,Distance Learning Undergrad,3
"Applied Computing Elective,Applied Computing elective used for equating transfer courses.",Applied Computing Elective,Distance Learning Undergrad,None,Computer Science,1 - 8
"Intermediate Accounting I,Detailed coverage of the accounting cycle, financial statements, assets, and income determination. Emphasizes problem solving as well as conceptual understanding.",Intermediate Accounting I,Distance Learning Undergrad,None,Accounting,3
"Technical and Professional Communication,This course covers technical and professional communication skills and techniques.  Practice in creating effective memos and reports, developing technical material, delivering presentations, and developing team communication skills will be the focus of the course.",Technical and Professional Communication,APC 3300,None,Distance Learning Undergrad,3
"Legal and Ethical Responsibilities of the IT Professional,This course explores a range of legal, regulatory, ethical and compliance issues associated with developing software and using information systems in an organization.  Topics include the ethical and legal issues associated with data privacy and intellectual property, compliance with regulatory requirements such as Sarbanes Oxley, and other related contemporary subjects.",Legal and Ethical Responsibilities of the IT Professional,APC 3400,C: APC 3200,Distance Learning Undergrad,3
Programming II,Programming II,APC 3500,P: APC 3000 and APC 3100,Distance Learning Undergrad,3
"Introduction to Business,This course introduces the student to the major functional areas of business including the roles of accounting, finance, human resources, marketing, information systems, and operations in the organization. In addition, the role of business in a free enterprise system, business ethics, leadership, leading change and the competitive global business environment will be covered.",Introduction to Business,APC 3200,None,Distance Learning Undergrad,3
"Database Management I,This course covers design and implementation of relational database management systems to support computer-based information systems. Topics include: data modeling techniques such as entity-relationship modeling, extended entity-relationship modeling, database normalization techniques, and basic and advanced features of database query language SQL.",Database Management I,APC 3600,P: APC 3000 and APC 3100,Distance Learning Undergrad,3
"Budgets and Budgetary Control,Theory and procedure of financial and operating budgets for managerial planning and controls.",Budgets and Budgetary Control,Distance Learning Undergrad,None,Accounting,3
"Object Oriented Programming,This course offers an introduction to Object-Oriented Programming techniques using the Java programming language. Students will gain skills in using Classes and Interfaces, Exception handling, Programming by Contract, Inheritance, Polymorphism, Overloading, Abstract Classes and Methods, Serialization, Generics, and an Introduction to Recursion.",Object Oriented Programming,APC 3900,P: APC 3500,Distance Learning Undergrad,3
"Math for Computer Science,This course covers important topics that serve as a foundation for many computer science courses. These topics may include logic, sets, functions, mathematical reasoning, counting, probability, relations, graphs, trees, Boolean algebra, and algorithms.",Math for Computer Science,APC 3100,None,Distance Learning Undergrad,3
"Database Management II,This course covers architecture and use-cases of non-relational (NoSQL) based on four types of databases including document, Graph, Key-value, and wide column store. Topics include: data types, create/update/delete data, query, cursors, indexing, dynamic schema design, scalability (scale-out) over scale-up of RDBMS, analysis of massive unstructured and semi-structured data and data security.",Database Management II,APC 4100,P: APC 3600,Distance Learning Undergrad,3
"Computer Security I,This course covers contents spanning security and risk management, security engineering, identity and access management, and security operations. Specific topics include cryptography, access control models, malicious software and counter-measures, security policy, security model, trust, vulnerability assessment, security standards and evaluation, administration and auditing, and secure storage.",Computer Security I,APC 4200,P: APC 3500,Distance Learning Undergrad,3
"Applied Communication Networks,This course covers fundamental concepts in the design, configuration, and problem solving of computer networks. Topics include: TCP/IP and OSI architecture, application layer (Web, FTP, remote connection, email, client and server interaction), transport layer (TCP/UDP), network layer (IP), data link and physical layers.",Applied Communication Networks,APC 4000,P: APC 3500,Distance Learning Undergrad,3
"Women and Gender in Latin American History,Examines the continuities and ruptures in the lives of Latin American women from the colonial period to the present.  Compares and contrasts the roles of women from different classes, ethnic groups, and regions.  This course considers women's history through individual life stories and by looking at the social, cultural, and institutional contexts of their lives, with a focus on women as historical actors.",Women and Gender in Latin American History,International Education,Main Campus,HISTORY 3650,3
"Operating Systems Theory and Practice,This course provides an introduction to important operating systems concepts such as processes, threads, scheduling, concurrency control and memory management. The students will learn these concepts via systems programming using POSIX API.",Operating Systems Theory and Practice,APC 4500,C: APC 4300,Distance Learning Undergrad,3
"Web Development,This course teaches students how to create advanced and interactive websites web sites using technologies like HTML 5, CSS, JavaScript, Bootstrap, XML, web services, and database integration within the ASP.Net platform. The class also introduces principles of good user interaction design to the creation of effective web pages.",Web Development,APC 4400,P: APC 3600; C: APC 4000,Distance Learning Undergrad,3
"Intermediate Accounting II,Detailed coverage of liabilities, investments, corporate accounting, the statement of cash flows, and special topics such as pensions, leases, and accounting changes. Emphasizes problem solving as well as conceptual understanding.",Intermediate Accounting II,Distance Learning Undergrad,None,Accounting,3
"Project Management Techniques,This course is an introduction to project management tools and techniques including project selection and life cycle, stakeholder management, scope management, budget control, scheduling, quality management, risk identification, and procurement management.",Project Management Techniques,APC 3800,P: APC 3700,Distance Learning Undergrad,3
"Systems Analysis and Design,This course explores the first five phases of the Systems Development Life Cycle including scope definition, problem analysis, requirements analysis, logical design and decision analysis with the goal of determining an effective system solution. Topics covered include Use Case development, gap analysis, financial analysis of IT investments, and feasibility analysis.",Systems Analysis and Design,APC 3700,"P: APC 3000, APC 3200 and APC 3300",Distance Learning Undergrad,3
"Management Accounting,Introduction to management accounting topics such as cost accounting, cost analysis, budgeting, and variance analysis.  Focuses on both procedures and the drawing of inferences from the results for more effective and efficient managerial decision making.",Management Accounting,Distance Learning Undergrad,None,Accounting,3
"Capstone Project,The purpose of this course is for students to complete the project that was approved in APC 490. This course covers the development, management and delivery of an applied computer science project for a client, including communication of project requirements and status to a non-technical audience.",Capstone Project,APC 4950,P: APC 4900,Distance Learning Undergrad,3
"Introduction to ERP,Introduction to ERP Systems covers the key processes supported by modern ERP systems. This course is designed to introduce the concept of integrated business processes.  The main integration points between processes and their cross-functional nature will be explored to provide the ability to apply an integrated perspective to business processes.  It will examine the core concepts applicable to all ERP environments, and explain how those concepts can be utilized to implement business processes within the SAP system.",Introduction to ERP,Distance Learning Undergrad,None,Business Administration,1
