prerequisites,course,description,unit,title
SOIL SCI/​ENVIR ST/​GEOG  230,SOIL SCI 301,"
",4 ,GENERAL SOIL SCIENCE
SOIL SCI 301,SOIL SCI 305,"
Soils are fundamental to ecosystem science. A systems approach is used to investigate how soils look and function. Topics investigated include soil structure, biology, water, fertility, and taxonomy as well as the human impact on the soil environment. Enroll Info: None",1 credit.,FIELD STUDY OF SOIL
CHEM 104,SOIL SCI 321,"
",3 ,SOILS AND ENVIRONMENTAL CHEMISTRY
109,SOIL SCI 322,"
Research work under direct guidance of a Soil Science faculty or instructional academic staff member. Students are responsible for arranging the work and credits with the supervising instructor. Enroll Info: Intended for students in the CALS Honors Program.",3 ,PHYSICAL PRINCIPLES OF SOIL AND WATER MANAGEMENT
116,SOIL SCI/​PL PATH  323,"
",3 ,SOIL BIOLOGY
PHYSICS 103,SOIL SCI/​ENVIR ST  324,"
Research work under direct guidance of a faculty or instructional academic staff member. Students are responsible for arranging the work and credits with the supervising instructor. Enroll Info: None",3 ,SOILS AND ENVIRONMENTAL QUALITY
201,SOIL SCI 325,"
",3 ,SOILS AND LANDSCAPES
207,SOIL SCI/​AGRONOMY/​HORT  326,"
Physical chemical and biological properties of soils as they affect soil-plant-water relations, soil classification and suitability for agricultural and other uses. Enroll Info: None",3 ,PLANT NUTRITION MANAGEMENT
247,SOIL SCI/​HORT  332,"
",3 ,TURFGRASS NUTRIENT AND WATER MANAGEMENT
SOIL SCI 301,SOIL SCI/​AGRONOMY/​ENTOM/​HORT/​PL PATH  354,"
Intensive in situ description and evaluation of soil morphology. Field trips required. Enroll Info: None",1 credit.,DIAGNOSING AND MONITORING PEST AND NUTRIENT STATUS OF FIELD CROPS
ZOOLOGY/​BIOLOGY/​BOTANY  152,SOIL SCI/​AGRONOMY/​BOTANY  370,"
",3 ,GRASSLAND ECOLOGY
ZOOLOGY/​BIOLOGY  101,SOIL SCI/​BSE/​CIV ENGR  372,"
Sources, reactions, transport, effects, and fates of chemical species in soils and associated water and air environments. Emphasis on the chemical behavior of elements and compounds and the phenomena affecting natural and anthropogenic materials in soils. Enroll Info: None",2 ,ON-SITE WASTE WATER TREATMENT AND DISPERSAL
102,SOIL SCI 375,"
",1-6 ,SPECIAL TOPICS
BOTANY/​BIOLOGY  130,SOIL SCI 399,"
Soil physical properties and interactions as related to soil and water resource management and conservation. Water runoff (leading to soil erosion and surface water contamination); tillage and nutrient management; soil thermal and moisture regimes; solute movement; soil compaction, air and aeration. Enroll Info: None",1-8 ,COORDINATIVE INTERNSHIP/COOPERATIVE EDUCATION
MED SC-M 810,SURGERY 699,"
Independent study projects as arranged with faculty or instructional staff. Enroll Info: None",0-5 ,INDEPENDENT STUDY
811,SURGERY 799,"
",0-9 ,INDEPENDENT READING AND RESEARCH
812,SURGERY 812,"
Enroll Info: None",1-12 ,THIRD YEAR SURGERY
813,SURGERY 910,"
",1-12 ,INDEPENDENT READING AND RESEARCH FOR FOURTH YEAR MEDICAL STUDENTS
MED SC-M 810,SURGERY 911,"
Enroll Info: 3rd yr Med School st",2 ,AORTIC DISEASE FROM BENCH TO BEDSIDE
811,SURGERY 912,"
",2 ,AORTIC DISEASE FROM BENCH TO BOARDROOM
812,SURGERY 919,"
Enroll Info: 4th yr Med st",1-12 ,INDIVIDUALIZED FOURTH YEAR CLINICAL CLERKSHIP
813,SURGERY 920,"
",2-12 ,GENERAL SURGERY CLERKSHIP-CSC
MED SC-M 810,SURGERY 921,"
The basics of vascular biology, as it applies to abdominal aortic aneurysm disease. Gain an understanding of pathophysiology of aneurysm disease, animal models of aortic aneurysm, and knowledge on experimental approaches to develop biomarkers and therapeutic strategies. Experience medical treatment of aneurysm disease in the clinic, and how risk factors identified from basic science techniques are applied at the bedside. Enroll Info: None",2-12 ,GENERAL SURGERY CLERKSHIP-MERITER
811,SURGERY 923,"
",2-12 ,GENERAL SURGERY CLERKSHIP-ST. MARY'S
812,SURGERY 924,"
The anatomy applicable to abdominal aortic aneurysm repair, how this influenced the development of endografts, and how that development is regulated. Investigate the issues involved in aneurysm screening, and experience aneurysm screening in the clinic and aneurysm repair in the operating room. Discuss what is involved in medical device regulation, and how the medical device industry interacts with physicians to develop and distribute technology. Evaluate how the cost of medical devices is distributed to patients. Enroll Info: None",2-12 ,GENERAL SURGERY CLERKSHIP-LACROSSE
813,SURGERY 925,"
",2-12 ,GENERAL SURGERY CLERKSHIP-MARSHFIELD
SURGERY 812,SURGERY 926,"
Individually arranged fourth year clinical clerkships. (Student must have Fourth Year Committee approval to count for fourth year credit.) Enroll Info: 4th yr Med st",4 ,SURGERY FOR THE NON-SURGEON
MED SC-M 810,SURGERY 929,"
",2-4 ,PEDIATRIC SURGERY
811,SURGERY 938,"
Enroll Info: 4th yr Med st",4 ,INPATIENT ACTING INTERNSHIP-SURGERY
812,SURGERY 939,"
",2-12 ,ADULT ORTHOPEDICS FOR THE FUTURE ORTHOPEDIST CLERKSHIP-CSC
813,SURGERY 940,"
Enroll Info: 4th yr Med st",2-12 ,ADULT ORTHOPEDICS FOR THE NON-ORTHOPEDIST CLERKSHIP-CSC
None,SURGERY 941,"
",2-12 ,ADULT ORTHOPEDICS AND FRACTURES-VAH
None,SURGERY 944,"
Enroll Info: 4th yr Med st",2-12 ,UPPER EXTREMITY ORTHOPAEDIC CLERKSHIP-MARSHFIELD CLINIC
None,SURGERY 948,"
",2-12 ,OTOLARYNGOLOGY CLERKSHIP-CSC
None,SURGERY 949,"
Enroll Info: 4th yr Med st",2-12 ,CLINICAL OTOLARYNGOLOGY CLERKSHIP-LACROSSE
None,SURGERY 954,"
",2-12 ,PERIPHERAL VASCULAR CLERKSHIP-CSC/VAH
SPANISH 311,SPANISH 101,"
All basic language skills: listening comprehension, speaking, reading, and writing. Classes meet five times per week. Enroll Info: None",4 ,FIRST SEMESTER SPANISH
SPANISH 226,SPANISH 102,"
",4 ,SECOND SEMESTER SPANISH
SPANISH 311,SPANISH 203,"
Continuation of 101. Enroll Info: ",4 ,THIRD SEMESTER SPANISH
SPANISH 223,SPANISH 204, or appropriate score on placement exam. Open to Freshmen,4 ,FOURTH SEMESTER SPANISH
224,SPANISH 206,"
",4 ,FIRST SEMESTER SPANISH FOR SPANISH SPEAKERS
SPANISH 311,SPANISH 207,"
Intermediate level language review, Hispanic readings, culture, and patterns of conversation. Enroll Info: ",4 ,SECOND SEMESTER SPANISH FOR SPANISH SPEAKERS
SPANISH 223,SPANISH 223, or appropriate score on placement exam. Open to Fr,3 ,INTRODUCTION TO HISPANIC CULTURES
224,SPANISH 224,"
",3 ,INTRODUCTION TO HISPANIC LITERATURES
SPANISH 226,SPANISH 226,"
Second-semester intermediate level language review, extensive readings in literature, intensive written and oral activities. Enroll Info: ",3 ,INTERMEDIATE LANGUAGE PRACTICE WITH EMPHASIS ON WRITING AND GRAMMAR
SPANISH 311,SPANISH/​AFROAMER/​ANTHRO/​C&E SOC/​GEOG/​HISTORY/​LACIS/​POLISCI/​SOC  260, or appropriate score on placement exam. Open to Fr,3-4 ,LATIN AMERICA: AN INTRODUCTION
SPANISH 223,SPANISH 299,"
",1-3 ,DIRECTED STUDY
224,SPANISH 311,"
Enroll Info: Span lang backgrnd at home (or extensive backgrnd abroad). No formal training in Span necessary, but stdts may have up to 2 yrs of HS Span or cons inst. Open to Fr",3 ,ADVANCED LANGUAGE PRACTICE
SPANISH 320,SPANISH 319,"
",1-3 ,TOPICS IN SPANISH LANGUAGE PRACTICE
SPANISH 311,SPANISH 320,"
Enroll Info: Spanish language background at home (or extensive background abroad) plus Span 206. Stdts may have up to 3 yrs HS Span or equiv of Span 206 or cons inst",3 ,SPANISH PHONETICS
SPANISH 223,SPANISH 321,"
",3 ,THE STRUCTURE OF MODERN SPANISH
224,SPANISH 322,"
Introduction to the issues which shape the national cultures and the cultural practices of the Hispanic world. Emphasis on diversity, emergence of new imagined communities, cultural hybridity, and social movements within a historical framework. Enroll Info: ",3 ,SURVEY OF EARLY HISPANIC LITERATURE
SPANISH 223,SPANISH 323, (or higher language) or con reg. Open to Fr,3 ,ADVANCED LANGUAGE PRACTICE WITH EMPHASIS ON EXPOSITORY WRITING
224,SPANISH 324,"
",3 ,SURVEY OF MODERN SPANISH LITERATURE
SPANISH 223,SPANISH 325,"
An introduction to reading and analyzing literary works, with special emphasis on development of oral and written skills for the discussion of literature. Concentration on methods of analyzing basic literary forms, conventions, genres, and representative short texts in Spanish. Enroll Info: ",3 ,ADVANCED CONVERSATION
224,SPANISH 326, (or higher language placement) or con reg. Open to Fr,3 ,SURVEY OF SPANISH AMERICAN LITERATURE
SPANISH 223,SPANISH 327,"
",3 ,INTRODUCTION TO SPANISH LINGUISTICS
224,SPANISH/​INTL BUS  329,"
Intensive practice in reading, writing, and grammar. May be taken concurrently with ",3 ,SPANISH FOR BUSINESS
SPANISH 223,SPANISH 331, or ,3 ,SPANISH APPLIED LINGUISTICS
224,SPANISH 359,. Enroll Info: ,3 ,SPANISH BUSINESS AREA STUDIES
SPANISH 223,SPANISH 361, or appropriate score on placement exam.,3 ,SPANISH CIVILIZATION
224,SPANISH 363,"
",3 ,SPANISH AMERICAN CIVILIZATION
SPANISH 320,SPANISH/​MEDIEVAL  414,"
Latin American culture and society from an interdisciplinary perspective; historical developments from pre-Columbian times to the present; political movements; economic problems; social change; ecology in tropical Latin America; legal systems; literature and the arts; cultural contrasts involving the US and Latin America; land reform; labor movements; capitalism, socialism, imperialism; mass media. Enroll Info: None",3 ,LITERATURA DE LA EDAD MEDIA CASTELLANA (SS. XII-XV)
SPANISH 223,SPANISH 417,"
",3-4 ,LITERATURA DEL SIGLO DE ORO
324,STAT 301,"
Distributions, measures of central tendency, dispersion and shape, the normal distribution; experiments to compare means, standard errors, confidence intervals; effects of departure from assumption; method of least squares, regression, correlation, assumptions and limitations; basic ideas of experimental design. Enroll Info: None",3 , 
371,STAT 302,"
",3 ,INTRODUCTION TO STATISTICAL METHODS
MATH 217,STAT 303,"
Graphical and numerical exploration of data; standard errors; distributions for statistical models including binomial, Poisson, normal; estimation; hypothesis testing; randomization tests; basic principles of experimental design; regression; ANOVA; categorical data analysis; goodness of fit; application. (intended for students wishing to take additional statistics courses). Enroll Info: Satisfied Quantitative Reasoning (QR) A requirement and ",1 credit., 
MATH 221,STAT 304, or equivalent,1 credit.,ACCELERATED INTRODUCTION TO STATISTICAL METHODS
MATH 275,STAT 305,"
",1 credit.,R FOR STATISTICS I
301,STAT/​MATH  309,"
An understanding of the commonly used statistical language R. Topics will include using R to manipulate data and perform exploratory data analysis. Enroll Info: None",3 ,R FOR STATISTICS II
302,STAT/​MATH  310,"
",3 ,R FOR STATISTICS III
312,STAT 311,"
Provides an understanding of the commonly used statistical language R. Topics will include writing conditional expressions, loops, and functions; manipulating data matrices and arrays; extracting data from text; and making high level visualizations of data. Enroll Info: None",3 ,INTRODUCTION TO PROBABILITY AND MATHEMATICAL STATISTICS I
324,STAT 312,"
",3 ,INTRODUCTION TO PROBABILITY AND MATHEMATICAL STATISTICS II
371,STAT 324,"
Provides an understanding of the commonly used statistical language R. Students will learn to combine R with high performance computing tools to do scientific computing. Enroll Info: None",3 ,INTRODUCTION TO THEORY AND METHODS OF MATHEMATICAL STATISTICS I
MATH/​STAT  310,STAT 327,"
",1 credit.,INTRODUCTION TO THEORY AND METHODS OF MATHEMATICAL STATISTICS II
ECON 310,STAT 333,"
Probability and combinatorial methods, discrete and continuous, univariate and multivariate distributions, expected values, moments, normal distribution and derived distributions, estimation. Enroll Info: None",3 ,INTRODUCTORY APPLIED STATISTICS FOR ENGINEERS
GEN BUS 303,STAT 349,"
",3 ,LEARNING A STATISTICAL LANGUAGE
304,STAT 351,"
Mathematical statistical inference aims at providing an understanding of likelihood's central role to statistical inference, using the language of mathematical statistics to analyze statistical procedures, and using the computer as a tool for understanding statistics. Specific topics include: samples and populations, estimation, hypothesis testing, and theoretical properties of statistical inference. Enroll Info: None",3 , 
PSYCH 210,STAT 360,"
",1-3 ,APPLIED REGRESSION ANALYSIS
SOC/​C&E SOC  360,STAT 371,"
Elements of probability, important discrete distributions, acceptance sampling by attributes, sample characteristics, probability distributions and population characteristics, the normal distribution, acceptance sampling plans based on sample means and variances, sampling from the normal, the central limit theorem, point and interval estimation. Enroll Info: None",3 ,INTRODUCTION TO TIME SERIES
STAT 303,STAT 411,"
",3 ,INTRODUCTORY NONPARAMETRIC STATISTICS
STAT 304,STAT 421,"
Unbiased estimation, maximum likelihood estimation, confidence intervals, tests of hypotheses, Neyman-Pearson lemma, likelihood ratio test, regression, analysis of variance with applications. Enroll Info: None",3 ,TOPICS IN STATISTICS STUDY ABROAD
MATH 234,STAT/​M E  424,"
",3 , 
STAT/​MATH  431,STAT/​MATH  431,"
Descriptive statistics, probability concepts and distributions, random variables. Hypothesis tests and confidence intervals for one- and two-sample problems. Linear regression, model checking, and inference. Analysis of variance and basic ideas in experimental design. Enroll Info: None",3 ,INTRODUCTORY APPLIED STATISTICS FOR THE LIFE SCIENCES
STAT 311,STAT 441,"
",3 ,AN INTRODUCTION TO SAMPLE SURVEY THEORY AND METHODS
None,SOC WORK 999,"
Enroll Info: Sr st cons inst  Soc Wk 691",1-9 ,PHD PROSEMINAR
SOC/​C&E SOC  210,SOC 120,"
Sociology of the family. Demographic, social-psychological, economic, and historical aspects. Union formation and dissolution. Childbearing and childrearing. Social stratification and the family. Intergenerational support. Social consequences of family behaviors. Enroll Info: None",3-4 ,MARRIAGE AND FAMILY
SOC/​C&E SOC  211,SOC 125,"
",3-4 ,AMERICAN SOCIETY: HOW IT REALLY WORKS
SOC 181,SOC 130,"
Explanation of US performance in realizing the values of freedom, fairness, and democracy. Topics include markets, capitalism, democracy, capitalist democracy; class, race, and gender inequalities; militarism and US international role; and US electoral politics, media, and social mobilization. Enroll Info: None",3 ,SOCIAL PROBLEMS
SOC/​C&E SOC  211,SOC/​LEGAL ST  131,"
",3-4 ,CRIMINAL JUSTICE IN AMERICA
SOC 181,SOC 134,"
Conditions and processes in personal and social maladjustment; nature of social disorganization and social problems; their relation to social change and basic ideological, technological, and institutional structures and processes. Enroll Info: None",3-4 , 
SOC/​C&E SOC  210,SOC 138,"
",3-4 ,SOCIOLOGY OF RACE & ETHNICITY IN THE UNITED STATES
SOC/​C&E SOC  357,SOC/​C&E SOC  140,"
Day-to-day functioning of the elements of the criminal justice system in the U.S. Nature of crime in the U.S., ideas about causes and solutions. Emphasis on the sociology of the components of criminal justice system--organization and roles of police, lawyers, court and correctional personnel. Enroll Info: Open to Fr  So only, until end of Fr reg period. Stdts may receive cr for only one of the following: ",3 ,THE SOCIOLOGY OF GENDER
SOC/​C&E SOC  140,SOC/​PSYCH  160, or 431,3-4 ,INTRODUCTION TO COMMUNITY AND ENVIRONMENTAL SOCIOLOGY
SOC 181,SOC 170,"
",3-4 ,HUMAN SEXUALITY: SOCIAL AND PSYCHOLOGICAL ISSUES
210,SOC 181,"
The nature of inter-group relations; emphasis on various forms of racism, discrimination, and white privilege; historical background and characteristics of American Indians, African Americans, Hispanic Americans, Asian Americans and other racial and ethnic minorities; a consideration of economic, housing, political, legal, educational, familial, and health challenges faced by minority groups in US society. Enroll Info: None",3-4 , 
211,SOC 198,"
",1-3 ,POPULATION PROBLEMS
SOC/​C&E SOC  357,SOC 199,"
A sociological examination of the status and roles of women and men in society, including the experiences of marriage, parenthood, employment and occupational attainment, socialization into sex roles and cultural reinforcement of these. Attention will be given to both existing patterns and change in those patterns. Enroll Info: None",1-3 , 
SOC/​C&E SOC  360,SOC/​GEN&WS  200,"
",3-4 ,HONORS INTRODUCTORY SEMINAR-THE SOCIOLOGICAL ENTERPRISE
STAT 301,SOC 205,"
Sociological examination of the linkages between the social and biophysical dimensions of the environment. Key topics include community organizing, local food systems, energy transitions, environmental justice, resource dependence, and sustainable development. Gateway to advanced courses in sociology. Enroll Info: None",3 ,DIRECTED STUDY
ECON 310,SOC 206,"
",3 ,DIRECTED STUDY
PSYCH 210,SOC/​C&E SOC  210,"
Biological, psychological and sociological aspects of sexual relationships and behavior. The course presents theoretical and empirical materials on sexuality throughout the life-course, including childhood, adolescence, adulthood, and later life. Attention is given to gender, religion, education and the law as they relate to sexual expression in society. Enroll Info: Not open to students who have taken Psych 350",3-4 , 
GEOG 360,SOC/​C&E SOC  211,"
",3 ,"INTRODUCTION TO LESBIAN, GAY, BISEXUAL, TRANSGENDER AND QUEER+ STUDIES"
MATH/​STAT  310,SOC/​C&E SOC/​GEN&WS  215,"
Social, economic, and political problems affected by birth and death rates, population size and distribution, voluntary and forced migration. World ecology, limits to growth, economic development, international conflict, environmental quality, metropolitan expansion, segregation by age, race, and wealth. Policies affecting reproduction, nuptiality, morbidity, mortality, migration. Enroll Info: None",3 , 
GEN BUS 303,SOC/​ASIAN AM  220,"
",3-4 ,INTERCULTURAL DIALOGUES
OTM 300,SOC/​C&E SOC  222,"
An introduction to the paradigms, methods and substance of sociology. Gateway to advanced courses in sociology. Enroll Info: None",3 ,LEADERSHIP IN INTERCULTURAL DIALOGUES
STAT 371,SOC 225,"
",3 , 
SOC/​C&E SOC  361,SOC 236,"
Program of study devised by a student in collaboration with a faculty member. Graded on a N basis. Open only to freshmen and sophomores. Enroll Info: Open to Fr  So only. Graded on N basis; requires written cons inst",3 ,SURVEY OF SOCIOLOGY
PSYCH 210,SOC/​GEOG/​HISTORY/​LCA/​POLISCI  244,"
",4 ,THE SOCIOLOGICAL ENTERPRISE
GEN BUS 303,SOC/​C&E SOC  245,"
Program of study devised by a student in collaboration with a faculty member. Graded on a lettered basis. Open only to Fr and So. Enroll Info: Open to Fr  So only. Graded on a lettered basis; requires written cons inst",3 ,GENDER AND WORK IN RURAL AMERICA
STAT 301,SOC/​C&E SOC/​F&W ECOL  248,"
",3 , 
ECON 310,SOC 250,"
A multidisciplinary introduction to lesbian, gay, bisexual, transgender, and queer (LGBTQ) studies, including theories of identity formation, different societal interaction with LGBTQ communities, LGBTQ cultures in history, and contemporary legal and political issues. Course materials explore the intersections between LGBTQ identities and other socially marginalized identities, including (but not limited to) those based on race, ethnicity, religion and disability. Enroll Info: None",3-4 ,ETHNIC MOVEMENTS IN THE UNITED STATES
MATH/​STAT  310,SOC/​JEWISH  258,"
",3 ,"FOOD, CULTURE, AND SOCIETY"
GEOG 360,SOC/​AFROAMER/​ANTHRO/​C&E SOC/​GEOG/​HISTORY/​LACIS/​POLISCI/​SPANISH  260,"
Intercultural Dialogues (ICD) promotes diversity on campus by bringing students of different backgrounds together for discussion, projects, and gatherings outside of class. Enroll Info: Consent of Instructor",3-4 ,CONTEMPORARY CHINESE SOCIETY
SOC/​C&E SOC  360,SOC/​AFRICAN/​AFROAMER/​ANTHRO/​GEOG/​HISTORY/​POLISCI  277,"
",4 , 
DANCE 118,THEATRE/​ENGL  120,"
Reading important plays, attending stage productions, writing and thinking critically about theatre and drama. Emphasis on developing analytic skills in dramatic literature and theatre production. Enroll Info: None",3-4 ,INTRODUCTION TO THEATRE AND DRAMATIC LITERATURE
THEATRE 160,THEATRE 130,"
",3 ,FUNDAMENTALS OF THEATRICAL DESIGN
THEATRE 160,THEATRE 140,"
Foundational elements of theatrical design and developing the skills to translate text into visual and/or aural content. It involves an introduction to script analysis; visual, aural, and dramaturgical research; problem solving skills; creative exploration and visual communication. This course will be relevant to designers, directors, actors, stage managers, technicians, and informed audience members. Enroll Info: None",3 ,VOICE 1: EFFECTIVE COMMUNICATION
THEATRE 160,THEATRE 150,"
",3 ,ACTING I: INTRODUCTION TO ACTING
THEATRE 150,THEATRE 160,"
Introduces and explores the fundamentals and discipline of voice and speech. Provides a foundation from which the student will begin to access and engage healthful, practical, and creative vocal and speech function. Students will be introduced to methods of expression for acting and public speaking. Enroll Info: None",3 ,TECHNICAL THEATRE FUNDAMENTALS
THEATRE 250,THEATRE 161,"
",2 ,BACKSTAGE LABORATORY I
140,THEATRE 162,"
Provides a basic introduction to the craft of acting. Students will begin to develop disciplines and tools of the actor as they relate to voice, movement, language skills, and engaging communication. Explores how actor training skills can be a benefit in a wide context of professional and personal endeavors. Enroll Info: None",1 credit.,BACKSTAGE EXPERIENCE
THEATRE 250,THEATRE 199,"
",1-3 ,DIRECTED STUDY
THEATRE 150,THEATRE 200,"
Learn how to mount a theatrical production. Through scenery, costumes, lighting, sound, and stage management explore the relationship between the technical components of the production process. This course includes lectures as well as practical experience in University Theatre productions. Enroll Info: None",2 ,ACTING SKILLS FOR LIFE
COM ARTS 260,THEATRE/​DANCE  218,"
",2 ,AFRICAN DANCE PERFORMANCE
THEATRE/​ART  372,THEATRE 219,"
Weekly labs and specified performance assignment in which students learn through practical participation in University Theatre productions; lab choices include scenery and costume construction, lighting, and sound. Enroll Info: None",1-3 ,UNDERGRADUATE TOPICS INTHEATRE AND DRAMA
None,THEATRE 220,"
",1 credit.,SCENIC STUDIO PRACTICUM
None,THEATRE 221,"
Participation in University Theatre performance in various capacities including light or sound console operator, wardrobe, properties, carpentry, or other areas. Mandatory participation in all evening and weekend technical rehearsal and performance activities. Enroll Info: None",1 credit.,COSTUME STUDIO PRACTICUM
None,THEATRE 222,"
",1 credit.,LIGHTING & SOUND STUDIO PRACTICUM
None,THEATRE 224,"
Enroll Info: Graded on a lettered basis. Open to Fr  So. Cons inst req",3 ,HISTORY OF THEATRICAL PRODUCTION
None,THEATRE 234,"
",3 ,COLLABORATIVE PROBLEM SOLVING
None,THEATRE 240,"
Skills learned by actors in the theatre world can be applied to presentations and interactions in business, education, and beyond. We will utilize acting techniques traditionally used in theatre to enhance confidence and communication in interviews, presentations, elevator pitches, authentically connecting on a personal level with others, and how to avoid or better deal with stage fright. Enroll Info: None",3 ,INTERMEDIATE VOICE TRAINING
None,THEATRE 250,"
",3 ,FUNDAMENTALS OF ACTING
None,THEATRE/​DANCE  259,"
Technique, practice and performance of complex African and African-based dances in relation to polyrhythmic musical and percussive accompaniment. Study of historical and cultural contexts of these forms. Development of improvisational skills in dialogue with musicians. Enroll Info: None",1-2 ,COLLABORATIVE ARTS PERFORMANCE LAB: DEVISING COLLABORATIVE PERFORMANCE THROUGH HIP HOP ARTS
None,THEATRE 260,"
",3 ,PRODUCING THEATRE
None,THEATRE 263,"
Undergraduate study in subjects of current interest in design, performance, technology, history, dramatic theory, literature criticism, or theatre/drama education. Enroll Info: None",3-4 ,FUNDAMENTALS OF COSTUMES TECHNOLOGY
None,THEATRE 266,"
",3 ,FUNDAMENTALS OF STAGE LIGHTING TECHNOLOGY
None,THEATRE 270,"
Hone skills learned in Technical Theater Fundamentals while working side-by-side with designers and technicians building University Theatre productions. Enroll Info: None",3-4 ,FUNDAMENTALS OF STAGECRAFT
None,THEATRE 298,"
",1-3 ,DIRECTED STUDY
None,THEATRE 299,"
Hone skills learned in Technical Theater Fundamentals while working side-by-side with designers and technicians building University Theatre productions. Enroll Info: None",1-3 ,DIRECTED STUDY
None,THEATRE/​DANCE/​FOLKLORE  321,"
",2 ,JAVANESE PERFORMANCE
None,THEATRE 324,"
Students hone skills learned in Technical Theater Fundamentals while working side-by-side with designers and technicians building University Theatre productions. Enroll Info: None",3 ,TRADITIONS IN DRAMATIC LITERATURE
BIOCORE 384,SOIL SCI 400,"
",1-6 ,STUDY ABROAD IN SOIL SCIENCE
CHEM 104,SOIL SCI/​MICROBIO  425,"
Nature, activities and role of organisms inhabiting soil. Effects of soil biota on ecosystem function, response to cultural practices, and impacts on environmental quality, including bioremediation of contaminated soils. Enroll Info: None",3 ,ENVIRONMENTAL MICROBIOLOGY
109,SOIL SCI/​F&W ECOL  451,"
",3 ,ENVIRONMENTAL BIOGEOCHEMISTRY
116,SOIL SCI/​AN SCI/​DY SCI/​FOOD SCI  472,"
Interaction of soils with environmental contaminants and the role of soils in pollution control. Enroll Info: None",1 credit.,ANIMAL AGRICULTURE AND GLOBAL SUSTAINABLE DEVELOPMENT
CHEM 104,SOIL SCI/​AN SCI/​DY SCI/​FOOD SCI  473,"
",2 ,INTERNATIONAL FIELD STUDY IN ANIMAL AGRICULTURE AND SUSTAINABLE DEVELOPMENT
109,SOIL SCI 499,"
Learn how to read the landscape and understand the relationships between soils, land use and landform. Discuss soil- forming factors, soil processes, soil classification, the 12 soil orders, soil survey and mapping. We will make several field trips and attendance is essential and required. Enroll Info: None",3 ,SOIL MANAGEMENT
116,SOIL SCI/​MICROBIO  523,"
",3 ,SOIL MICROBIOLOGY AND BIOCHEMISTRY
SOIL SCI/​ENVIR ST/​GEOG  230,SOIL SCI/​F&W ECOL/​HORT  524,"
Functions, requirements and uptake of essential plant nutrients; chemical and microbial processes affecting nutrient availability; diagnosis of plant and soil nutrient status; fertilizers and efficient fertilizer use in different tillage systems. Enroll Info: None",3 ,URBAN SOIL AND ENVIRONMENT
SOIL SCI 301,SOIL SCI/​GEOG  525,"
",3 ,SOIL GEOMORPHOLOGY
CHEM 103,SOIL SCI/​GEOG  526,"
Nutrient requirements of turfgrasses; nature of turfgrass response to fertilization; soil and tissue testing methodology and interpretation; irrigation scheduling; irrigation water quality; use of irrigation and fertilizer to minimize environmental impact; writing effective nutrient management plans. Enroll Info: None",3 ,HUMAN TRANSFORMATIONS OF EARTH SURFACE PROCESSES
109,SOIL SCI/​AGRONOMY/​ATM OCN  532,"
",3 ,ENVIRONMENTAL BIOPHYSICS
115,SOIL SCI/​ENVIR ST  575,"
Provides students with information necessary to diagnosis and monitor corn, soybean, alfalfa and wheat for pests (insects, weeds, diseases) and nutrient deficiency symptoms including perspectives from Agronomy, Entomology, Horticulture, Plant Pathology and Soil Science. Proper soil and pest sampling information will be provided as will proper cropstaging techniques which are essential for pest and nutrient management. Enroll Info: None",3 ,ASSESSMENT OF ENVIRONMENTAL IMPACT
SOIL SCI/​ENVIR ST/​GEOG  230,SOIL SCI 601,"
",1-3 ,SPECIAL TOPICS IN SOIL SCIENCE
SOIL SCI 301,SOIL SCI/​ENTOM/​F&W ECOL/​M&ENVTOX/​PL PATH  606,"
Understand factors driving global, continental, regional, and local distribution of grasslands. Discuss how management affects provision of grassland ecosystem goods and services. Compare and contrast plant community and ecosystem dynamics in native prairie and intensively managed pastures. Enroll Info: None",1 credit.,COLLOQUIUM IN ENVIRONMENTAL TOXICOLOGY
SOIL SCI/​AGRONOMY/​HORT  326,SOIL SCI 621,"
",3 ,SOIL CHEMISTRY
PL PATH/​BOTANY  123,SOIL SCI 622,"
On-site treatment and dispersal of waste water from homes, commercial sources and small communities. Sources, pretreatment units, nutrient removal units, constructed wetlands, surface and soil dispersal systems, recycle and reuse systems, regulations, alternative collection systems. Enroll Info: None",3 ,SOIL PHYSICS
BOTANY/​BIOLOGY  130,SOIL SCI/​CIV ENGR  623,"
",3 ,MICROBIOLOGY OF WATERBORNE PATHOGENS AND INDICATOR ORGANISMS
SOIL SCI/​ENVIR ST  101,SOIL SCI/​BOTANY/​HORT  626,"
Special topics on contemporary issues relevant to soil science. Enroll Info: None",3 ,MINERAL NUTRITION OF PLANTS
ZOOLOGY/​BIOLOGY/​BOTANY  151,SOIL SCI/​CIV ENGR/​M&ENVTOX  631,"
",3 ,"TOXICANTS IN THE ENVIRONMENT: SOURCES, DISTRIBUTION, FATE, & EFFECTS"
BIOCORE 381,SOIL SCI 681,"
An internship under guidance of a Soil Science faculty or instructional academic staff member and internship site supervisor. Students are responsible for arranging the work and credits with the Soil Science faculty or instructional academic staff member and the internship site supervisor. Enroll Info: None",2-4 ,SENIOR HONORS THESIS
BOTANY 100,SOIL SCI 682,"
",2-4 ,SENIOR HONORS THESIS
